,nutrient_id,nutrientName,unit_name,nutrient_category,drv,nutrient_order
0,2047,Energy (Atwater General Factors),KCAL,Energy,2500.0,0
1,2048,Energy (Atwater General Factors),KCAL,Energy,2500.0,1
2,1008,Energy,KCAL,Energy,2500.0,2
3,1062,Energy,kJ,Energy,2500.0,3
4,1005,"Carbohydrate, by difference",G,Carbohydrates,320.0,4
5,1063,"Sugars, Total",G,Carbohydrates,50.0,5
6,1079,Fiber,G,Carbohydrates,30.0,6
7,2000,Total Sugars,G,Carbohydrates,50.0,7
8,2033,Fiber (AOAC 2011.25),G,Carbohydrates,28.0,8
9,2039,Carbohydrates,G,Carbohydrates,275.0,9
10,1004,Total fat,G,Lipids,80.0,10
11,1253,Cholesterol,MG,Lipids,300.0,11
12,1258,"Fatty acids, total saturated",G,Lipids,20.0,12
13,1272,DHA,G,Lipids,0.25,13
14,1278,EPA,G,Lipids,0.25,14
15,1404,ALA,G,Lipids,1.5,15
16,2044,Lipids,G,Lipids,70.0,16
17,1003,Protein,G,Proteins,160.0,17
18,1106,"Vitamin A, RAE",UG,Vitamins,900.0,18
19,1109,Vitamin E,MG,Vitamins,15.0,19
20,1114,Vitamin D (D2 + D3),UG,Vitamins,20.0,20
21,1158,Vitamin E,MG_ATE,Vitamins,15.0,21
22,1162,"Vitamin C, total ascorbic acid",MG,Vitamins,90.0,22
23,1165,Thiamin,MG,Vitamins,1.2,23
24,1166,Riboflavin,MG,Vitamins,1.3,24
25,1167,Niacin,MG,Vitamins,16.0,25
26,1170,Pantothenic acid,MG,Vitamins,5.0,26
27,1175,Vitamin B-6,MG,Vitamins,1.7,27
28,1177,"Folate, total",UG,Vitamins,400.0,28
29,1178,Vitamin B-12,UG,Vitamins,2.4,29
30,1180,"Choline, total",MG,Vitamins,550.0,30
31,1183,Vitamin K2 MK-4,UG,Vitamins,50.0,31
32,1185,Vitamin K1,UG,Vitamins,120.0,32
33,2068,Vitamin E,MG,Vitamins,15.0,33
34,2067,Vitamin A,UG,Vitamins,900.0,34
35,1087,Calcium,MG,Minerals,1000.0,35
36,1089,Iron,MG,Minerals,10.0,36
37,1090,Magnesium,MG,Minerals,420.0,37
38,1091,Phosphorus,MG,Minerals,700.0,38
39,1092,Potassium,MG,Minerals,3400.0,39
40,1093,Sodium,MG,Minerals,1500.0,40
41,1095,Zinc,MG,Minerals,11.0,41
42,1098,Copper,MG,Minerals,0.9,42
43,1100,Iodine,UG,Minerals,150.0,43
44,1101,Manganese,MG,Minerals,2.3,44
45,1102,Molybdenum,UG,Minerals,45.0,45
46,1103,Selenium,UG,Minerals,55.0,46
