ingredient_id,display_name,source_count,top_similarity,Energy,Energy,Energy,Energy,Carbohydrate,"Sugars, Total",Fiber,Total Sugars,Fiber (AOAC 2011.25),Total fat,Cholesterol,"Fatty acids, total saturated",DHA,EPA,ALA,Protein,"Vitamin A, RAE",Vitamin E,Vitamin D (D2 + D3),Vitamin E,Vitamin C,Thiamin,Riboflavin,Niacin,Pantothenic acid,Vitamin B-6,"Folate, total",Vitamin B-12,Choline,Vitamin K2 MK-4,Vitamin K1,Vitamin E,Vitamin A,Calcium,Iron,Magnesium,Phosphorus,Potassium,Sodium,Zinc,Copper,Iodine,Manganese,Molybdenum,Selenium
abalone,Abalone,2,1.55,141.0,141.0,141.0,141.0,6.734999999999999,,0.0,0.0,,3.44,95.5,0.513,0.0,0.055,,19.17,2.0,4.975,0.0,4.975,2.0,0.1955,0.109,1.635,3.0,0.159,5.0,0.75,72.85,,28.4,4.975,,35.0,3.58,54.0,213.0,280.0,437.5,0.9199999999999999,0.2195,,0.04,,50.2
abalone_mushroom,Abalone Mushroom,2,0.0,33.27072366156788,33.27072366156788,33.27072366156788,33.27072366156788,6.515625,,2.575,1.11,,0.29874999999999996,0.0,0.062,0.0,0.0,,3.104375,2.0,0.0,0.37029999999999996,0.0,0.0,0.0975,0.2964,5.3535,1.294,0.10444,50.57,0.0,48.7,0.0,0.0,0.0,,1.5,1.0140500000000001,15.955,103.12,350.8,9.564,0.72715,0.1752,,0.09927,,1.9895
absinthe,Absinthe,1,0.0,279.0,279.0,279.0,279.0,33.2,,0.0,33.27,,0.11,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.009,0.008,,0.001,0.0,0.0,0.0,,0.0,0.0,,0.0,0.04,0.0,3.0,2.0,1.0,0.03,0.016,,,,0.2
acai,Acai,3,0.8085666540237897,56.427660930528994,56.427660930528994,56.427660930528994,56.427660930528994,12.213333333333333,,0.7999999999999999,10.923333333333334,,0.5533333333333333,0.0,0.0,0.0,0.0,,0.5533333333333333,485.0,8.016666666666666,0.0,8.016666666666666,41.63333333333333,0.03,0.04,9.06,3.333,1.1,4.0,3.4,0.0,,16.7,8.016666666666666,,13.0,0.3766666666666667,11.0,13.0,119.33333333333333,18.0,0.11,0.076,,1.66,,0.0
acerola,Acerola,1,0.9523599545753496,32.026768642447415,32.026768642447415,32.026768642447415,32.026768642447415,7.69,,1.1,,,0.3,0.0,0.068,0.0,0.0,,0.4,38.0,,,,1677.6,0.02,0.06,0.4,0.309,0.009,14.0,0.0,,,,,,12.0,0.2,18.0,11.0,146.0,7.0,0.1,0.086,,,,0.6
achiote_paste,Achiote Paste,1,0.0,462.0,462.0,462.0,462.0,53.85,,5.1,41.03,,23.08,0.0,2.56,,,,10.26,,,,,,,,,,,,,,,,,,126.0,2.31,,,1.0,3.0,,,,,,
acorn,Acorn,1,1.0333308892399162,387.0,387.0,387.0,387.0,40.75,,,,,23.86,0.0,3.102,,,,6.15,2.0,,,,0.0,0.112,0.118,1.827,0.715,0.528,87.0,0.0,,,,,,41.0,0.79,62.0,79.0,539.0,0.0,0.51,0.621,,1.337,,
acorn_squash,Acorn Squash,2,0.5844697163661096,48.5625,48.5625,48.5625,48.5625,10.48,,2.635,,,0.1825,,,,,,1.25,,,,,,,,,,,,,,,,,,24.82,0.3078,23.75,42.04,332.1,0.0,0.2935,0.08685,,0.1871,,
adobo_sauce,Adobo Sauce,1,0.0,92.0,92.0,92.0,92.0,19.79,,2.4,13.33,,0.3,0.0,0.045,0.0,0.0,,2.5,34.0,1.92,0.0,1.92,16.0,0.09,0.07,1.6,,0.16,9.0,0.0,13.7,,5.2,1.92,,20.0,0.8,12.0,52.0,370.0,1338.0,0.16,0.13,,,,1.1
adobo_seasoning,Adobo Seasoning,2,0.31801227939013665,307.0,307.0,307.0,307.0,65.59,,11.3,1.8,,7.53,0.0,3.29,0.0,0.0,,9.59,132.0,1.32,0.0,1.32,12.0,0.264,0.191,2.97,,1.32,138.0,0.0,30.3,,805.4,1.32,,996.0,35.3,224.0,171.0,684.0,27.0,3.14,0.843,,6.857,,7.2
advocaat,Advocaat,3,1.1463539900998019,229.33333333333334,229.33333333333334,229.33333333333334,229.33333333333334,24.433333333333334,,0.0,24.456666666666667,,2.1,19.0,1.2143333333333333,0.0,0.0003333333333333333,,1.2966666666666666,24.333333333333332,0.08,0.3666666666666667,0.08,0.39999999999999997,0.013,0.063,0.036333333333333336,,0.015000000000000001,0.3333333333333333,0.12333333333333334,14.700000000000001,,0.13333333333333333,0.08,,37.333333333333336,0.08333333333333333,5.333333333333333,33.333333333333336,49.0,16.0,0.15333333333333335,0.015,,,,1.366666666666667
agar,Agar,2,1.0099640630548943,166.0,166.0,166.0,166.0,43.815,,4.1,1.625,,0.16499999999999998,0.0,0.0335,0.0,0.0475,,3.375,0.0,2.935,0.0,2.935,0.0,0.0075,0.122,0.1285,1.66,0.16749999999999998,332.5,0.0,34.65,,13.35,2.935,,339.5,11.629999999999999,418.5,28.5,675.5,55.5,3.19,0.3355,,2.3365,,4.05
agati_flower,Agati Flower,1,0.5222800298687388,27.007648183556405,27.007648183556405,27.007648183556405,27.007648183556405,6.73,,,,,0.04,0.0,,,,,1.28,0.0,,0.0,,73.0,0.083,0.081,0.43,,,102.0,0.0,,,,,,19.0,0.84,12.0,30.0,184.0,15.0,,,,,,0.9
agave_syrup,Agave Syrup,2,0.33860214339614847,310.0,310.0,310.0,310.0,76.37,,0.2,68.03,,0.45,0.0,0.0,0.0,0.0,,0.09,8.0,0.98,0.0,0.98,17.0,0.122,0.165,0.689,,0.234,30.0,0.0,13.3,,22.5,0.98,,1.0,0.09,1.0,1.0,4.0,4.0,0.01,0.009,,0.005,,1.7
ajwain,Ajwain,1,0.0,332.93499043977056,332.93499043977056,332.93499043977056,332.93499043977056,49.9,,38.0,0.64,,14.59,0.0,0.62,0.0,0.0,,19.77,18.0,2.5,0.0,2.5,21.0,0.383,0.379,3.606,,0.36,10.0,0.0,24.7,,0.0,2.5,,689.0,16.23,258.0,568.0,1351.0,17.0,5.5,0.91,,1.3,,12.1
aleppo_pepper,Aleppo Pepper,1,0.0,39.913957934990435,39.913957934990435,39.913957934990435,39.913957934990435,9.46,,1.5,5.1,,0.2,0.0,0.021,0.0,0.0,,2.0,59.0,0.69,0.0,0.69,242.5,0.09,0.09,0.95,0.061,0.278,23.0,0.0,11.1,,14.3,0.69,,18.0,1.2,25.0,46.0,340.0,7.0,0.3,0.174,,0.237,,0.5
alfalfa_sprout,Alfalfa Sprout,2,1.463762047467643,23.0,23.0,23.0,23.0,2.1,,1.9,0.2,,0.69,0.0,0.069,0.0,0.0,,3.99,8.0,0.02,0.0,0.02,8.2,0.076,0.126,0.481,0.563,0.034,36.0,0.0,14.4,,30.5,0.02,,32.0,0.96,27.0,70.0,79.0,6.0,0.92,0.157,,0.188,,0.6
alfredo_sauce,Alfredo Sauce,1,1.3000000000000003,113.0,113.0,113.0,113.0,6.45,,0.0,3.23,,8.06,16.0,1.61,,,,1.61,,,,,,,,,,,,,,,,,,48.0,0.16,,,81.0,484.0,,,,,,
